threshold,precision,recall,f1
0.5700000000000001,0.8076702919290212,0.5811367380560132,0.6759281437125748
0.5800000000000001,0.8106060606060606,0.5728995057660626,0.6713320463320464
0.5900000000000001,0.8153018529587567,0.5617792421746294,0.6652036088758839
0.6000000000000001,0.8201219512195121,0.5539538714991763,0.6612586037364798
0.6100000000000001,0.8276077451592755,0.5457166392092258,0.6577314470091834
0.6200000000000001,0.8320561941251596,0.53665568369028,0.6524787180771157
0.6300000000000001,0.8347485303723057,0.5263591433278418,0.6456175801970194
0.6400000000000001,0.8423153692614771,0.5214168039538715,0.644110913253625
0.6500000000000001,0.8470428280081577,0.5131795716639209,0.6391382405745063
0.6600000000000001,0.8507980569049272,0.5049423393739704,0.6337554923752907
0.6700000000000002,0.8556187766714083,0.4954695222405272,0.6275430359937402
0.6800000000000002,0.856093979441997,0.4802306425041186,0.6153034300791557
0.6900000000000002,0.8662613981762918,0.4695222405271829,0.6089743589743589
0.7000000000000002,0.8709175738724728,0.4612850082372323,0.6031233171782445
0.7100000000000002,0.8760921366163622,0.4542833607907743,0.5983184160564144
0.7200000000000001,0.8829348722176422,0.4411037891268534,0.5882999176050535
0.7300000000000001,0.8835443037974684,0.4312191103789127,0.5795737614171049
0.7400000000000001,0.8847487001733102,0.42051070840197696,0.570072585147962
0.7500000000000001,0.8868092691622104,0.4098023064250412,0.5605633802816902
0.7600000000000001,0.8899167437557817,0.39621087314662273,0.5483043602165859
0.7700000000000001,0.8932692307692308,0.3826194398682043,0.5357554786620531
0.7800000000000001,0.8967229394240318,0.37191103789126856,0.525764192139738
0.7900000000000001,0.8986693961105425,0.3616144975288303,0.515712187958884
0.8000000000000002,0.9080213903743316,0.349670510708402,0.5049063336306869
0.8100000000000002,0.9121245828698554,0.33772652388797364,0.492936579501052
0.8200000000000002,0.919392523364486,0.3241350906095552,0.47929354445797806
0.8300000000000002,0.9247572815533981,0.313838550247117,0.46863468634686345
0.8400000000000002,0.9265463917525774,0.2961285008237232,0.4488139825218477
0.8500000000000002,0.9316005471956225,0.2804777594728171,0.4311490978157645
0.8600000000000002,0.9312320916905444,0.2677100494233937,0.41586692258477287
0.8700000000000001,0.9310344827586207,0.2557660626029654,0.4012924071082391
0.8800000000000001,0.9388083735909822,0.2401153212520593,0.3824204657264677
0.8900000000000001,0.9526315789473684,0.22364085667215816,0.36224149432955305
0.9000000000000001,0.9618320610687023,0.20757825370675453,0.34146341463414637
0.9100000000000001,0.9628099173553719,0.19192751235584843,0.32005494505494503
0.9200000000000002,0.9708520179372198,0.17833607907743,0.3013221990257481
0.9300000000000002,0.9746192893401016,0.15815485996705106,0.2721474131821403
0.9400000000000002,0.9821958456973294,0.13632619439868204,0.23942133815551536
0.9500000000000002,0.9858156028368794,0.11449752883031301,0.2051660516605166
